DATAHORA;ORDEM;LINHA;LATITUDE;LONGITUDE;VELOCIDADE
03-17-2019 12:56:23;B10521;;-22.86837;-43.25721;0.0
03-17-2019 12:57:10;B63011;920.0;-22.79241;-43.294418;0.0
03-17-2019 13:02:18;B27011;639.0;-22.81712;-43.301979;0.0
03-17-2019 13:02:41;B11681;;-22.866236;-43.357098;0.0
03-17-2019 13:03:52;B82626;653.0;-22.857803;-43.371284;0.0
03-17-2019 13:04:03;B11554;362.0;-22.866068;-43.356968;0.0
03-17-2019 13:05:16;B11513;362.0;-22.866621;-43.355412;0.0
03-17-2019 13:06:43;B11640;773.0;-22.811426;-43.372265;0.37
03-17-2019 13:08:41;B11588;908.0;-22.866785;-43.355183;0.0
03-17-2019 13:09:00;B11529;378.0;-22.866688;-43.355621;0.0
03-17-2019 13:09:32;C44579;;-22.860991;-43.356178;0.0
03-17-2019 13:09:51;B51546;624.0;-22.829741;-43.418598;0.0
03-17-2019 13:10:47;D13272;926.0;-22.865549;-43.401642;15.0
03-17-2019 13:11:42;D13263;;-22.87554;-43.419571;0.0
03-17-2019 13:12:03;A29107;292.0;-22.86784;-43.290501;0.0
03-17-2019 13:13:40;B10145;910.0;-22.814825;-43.18766;0.0
03-17-2019 13:14:28;B10410;2342.0;-22.81465;-43.187347;0.0
03-17-2019 13:14:42;B32672;779.0;-22.81665;-43.39415;0.0
03-17-2019 13:15:54;B31153;;-22.804939;-43.309971;0.0
03-17-2019 13:16:17;B71071;238.0;-22.929806;-43.254021;0.0
03-17-2019 13:18:58;B28717;2343.0;-22.81547;-43.187931;0.0
03-17-2019 13:19:57;B10137;322.0;-22.814566;-43.187729;0.0
03-17-2019 13:19:57;C50117;302.0;-22.929131;-43.253468;0.0
03-17-2019 13:20:21;B28564;321.0;-22.81501;-43.1884;0.0
03-17-2019 13:20:32;B27147;SVB905;-22.817141;-43.301849;0.0
03-17-2019 13:20:36;B28558;350.0;-22.8316;-43.329281;0.0
03-17-2019 13:20:54;B28569;324.0;-22.81485;-43.19051;0.0
03-17-2019 13:20:55;B32544;311.0;-22.816351;-43.394508;0.0
03-17-2019 13:20:58;D13118;794.0;-22.87994;-43.35672;0.0
03-17-2019 13:21:03;B71083;247.0;-22.888868;-43.292759;0.0
03-17-2019 13:21:14;B25541;;-22.902149;-43.298752;0.0
03-17-2019 13:21:14;B32716;946.0;-22.816681;-43.394199;0.0
03-17-2019 13:21:16;B25549;;-22.902519;-43.297722;0.0
03-17-2019 13:21:18;B28503;696.0;-22.816271;-43.188099;0.0
03-17-2019 13:21:22;B10543;;-22.86796;-43.257271;0.0
03-17-2019 13:21:22;D13192;731.0;-22.880619;-43.358398;0.0
03-17-2019 13:21:23;B10106;910.0;-22.81538;-43.187294;0.0
03-17-2019 13:21:26;B42595;;-22.876551;-43.330391;0.0
03-17-2019 13:21:26;B42656;457.0;-22.87657;-43.33054;0.0
03-17-2019 13:21:31;B28548;329.0;-22.81595;-43.188042;0.0
03-17-2019 13:21:36;B27150;SVB905;-22.81686;-43.301338;0.0
03-17-2019 13:21:41;B31138;;-22.804199;-43.310371;0.0
03-17-2019 13:21:43;B28582;324.0;-22.81476;-43.188648;0.0
03-17-2019 13:21:43;B31120;;-22.804899;-43.309311;0.0
03-17-2019 13:21:44;B25555;;-22.90259;-43.297901;0.0
03-17-2019 13:21:49;B25811;;-22.9021;-43.2994;0.0
03-17-2019 13:21:57;B25514;;-22.902451;-43.299191;0.0
03-17-2019 13:21:59;B32575;342.0;-22.81665;-43.39436;0.0
03-17-2019 13:22:04;B10030;634.0;-22.815073;-43.186935;0.0
03-17-2019 13:22:08;B10055;323.0;-22.815203;-43.186768;0.0
03-17-2019 13:22:10;B32747;779.0;-22.817881;-43.393532;0.0
03-17-2019 13:22:20;B28592;616.0;-22.81588;-43.188389;0.0
03-17-2019 13:22:23;B11601;778.0;-22.811386;-43.37281;0.0
03-17-2019 13:22:23;B28606;350.0;-22.81505;-43.188492;0.0
03-17-2019 13:22:28;B32508;795.0;-22.815599;-43.386742;0.0
03-17-2019 13:22:29;B11592;362.0;-22.866312;-43.355949;0.0
03-17-2019 13:22:29;B28505;324.0;-22.81496;-43.1884;0.0
03-17-2019 13:22:32;D86289;916.0;-22.896021;-43.533112;0.0
03-17-2019 13:22:36;B28619;696.0;-22.81506;-43.18856;0.0
03-17-2019 13:22:37;B28738;2344.0;-22.81464;-43.18895;0.0
03-17-2019 13:22:40;B27184;639.0;-22.816931;-43.301281;0.0
03-17-2019 13:22:43;C44528;;-22.86025;-43.356541;0.0
03-17-2019 13:22:44;B32712;946.0;-22.81636;-43.394272;0.0
03-17-2019 13:22:45;B31163;;-22.804871;-43.30994;0.0
03-17-2019 13:22:48;B25504;;-22.90193;-43.298512;0.0
03-17-2019 13:22:54;D86101;SV853;-22.85627;-43.493271;0.0
03-17-2019 13:22:57;B32711;2305.0;-22.81654;-43.394459;0.0
03-17-2019 13:23:05;B32801;2305.0;-22.814791;-43.386719;0.0
03-17-2019 13:23:06;B10556;630.0;-22.86841;-43.257092;0.0
03-17-2019 13:23:09;B28589;329.0;-22.81576;-43.187752;0.0
03-17-2019 13:23:10;B44665;;-22.86006;-43.356121;0.0
03-17-2019 13:23:11;B32725;688.0;-22.816629;-43.39436;0.0
03-17-2019 13:23:12;B11516;778.0;-22.811031;-43.372795;0.0
03-17-2019 13:23:17;B28608;350.0;-22.815269;-43.18829;0.0
03-17-2019 13:23:20;B44621;721.0;-22.849501;-43.323479;0.0
03-17-2019 13:23:27;B31098;;-22.80422;-43.310699;0.0
03-17-2019 13:23:32;B28741;2344.0;-22.815081;-43.1884;0.0
03-17-2019 13:23:34;B11523;773.0;-22.811193;-43.372948;0.0
03-17-2019 13:23:35;B42539;;-22.876419;-43.330021;0.0
03-17-2019 13:23:36;B10517;;-22.868389;-43.257229;0.0
03-17-2019 13:23:36;B28510;329.0;-22.815439;-43.18803;0.0
03-17-2019 13:23:36;B32658;386.0;-22.82633;-43.405979;0.0
03-17-2019 13:23:36;B32683;795.0;-22.81679;-43.39407;0.0
03-17-2019 13:23:39;B28719;2344.0;-22.814659;-43.18874;0.0
03-17-2019 13:23:48;B32634;688.0;-22.816139;-43.39484;0.0
03-17-2019 13:23:51;B11505;778.0;-22.81159;-43.37278;0.56
03-17-2019 13:23:57;B25522;;-22.90189;-43.298512;0.0
03-17-2019 13:23:58;B42651;650.0;-22.87631;-43.330502;0.0
03-17-2019 13:24:04;B32619;795.0;-22.816509;-43.394451;0.0
03-17-2019 13:24:05;B28594;324.0;-22.814951;-43.188419;0.0
03-17-2019 13:24:06;B31165;;-22.80415;-43.31081;0.0
03-17-2019 13:24:10;B10066;323.0;-22.815155;-43.186954;0.0
03-17-2019 13:24:11;B28598;326.0;-22.79072;-43.180882;0.0
03-17-2019 13:24:13;B28610;696.0;-22.81576;-43.187988;0.0
03-17-2019 13:24:14;B25516;;-22.901991;-43.2985;0.0
03-17-2019 13:24:14;B32574;265.0;-22.816179;-43.39455;0.0
03-17-2019 13:24:14;B42658;650.0;-22.87627;-43.32996;0.0
03-17-2019 13:24:17;B10528;;-22.868019;-43.25724;0.0
03-17-2019 13:24:18;B11672;773.0;-22.811136;-43.372601;0.0
03-17-2019 13:24:18;B25518;;-22.902149;-43.298851;0.0
03-17-2019 13:24:22;B25526;;-22.902081;-43.298679;0.0
03-17-2019 13:24:24;B10092;328.0;-22.815592;-43.186836;0.37
03-17-2019 13:24:28;B71133;238.0;-22.92984;-43.253876;0.0
03-17-2019 13:24:28;B82564;653.0;-22.859175;-43.371235;0.0
03-17-2019 13:24:29;B28730;2343.0;-22.81455;-43.18882;0.0
03-17-2019 13:24:36;B10549;;-22.86795;-43.257309;0.0
03-17-2019 13:24:36;B25801;;-22.90209;-43.299358;0.0
03-17-2019 13:24:37;B44555;721.0;-22.84971;-43.3232;0.0
03-17-2019 13:24:39;B32816;296.0;-22.815189;-43.386669;0.0
03-17-2019 13:24:41;B25579;;-22.902531;-43.299229;0.0
03-17-2019 13:24:44;B32803;2305.0;-22.815689;-43.386639;0.0
03-17-2019 13:24:46;B11531;773.0;-22.811085;-43.37273;0.0
03-17-2019 13:24:48;B25513;;-22.902491;-43.299351;2.0
03-17-2019 13:24:49;B71007;247.0;-22.888737;-43.291496;0.0
03-17-2019 13:24:53;B32588;265.0;-22.81645;-43.39436;0.0
03-17-2019 13:24:58;B32820;399.0;-22.81745;-43.393318;0.0
03-17-2019 13:25:04;B27181;639.0;-22.817511;-43.302071;0.0
03-17-2019 13:25:05;B10116;328.0;-22.814907;-43.187572;0.0
03-17-2019 13:25:05;B71062;455.0;-22.93067;-43.254543;0.37
