,DATAHORA,ORDEM,LINHA,LATITUDE,LONGITUDE,VELOCIDADE
257,2019-03-17 11:07:17,B11588,908.0,-22.866820999999998,-43.355133,0.0
258,2019-03-17 11:08:59,B11529,378.0,-22.866688,-43.355621,0.0
259,2019-03-17 11:12:11,B32663,688.0,-22.8167,-43.39423,0.0
260,2019-03-17 11:14:06,C30226,,-22.883739000000002,-43.552811,0.0
261,2019-03-17 11:14:17,C47972,,-22.952471,-43.348259000000006,0.0
262,2019-03-17 11:15:17,A27574,432.0,-22.920099,-43.25663,0.0
263,2019-03-17 11:16:02,B71071,238.0,-22.929798,-43.254051000000004,0.0
264,2019-03-17 11:16:22,B32523,688.0,-22.816299,-43.39439,0.0
265,2019-03-17 11:16:41,B63029,,-22.813660000000002,-43.268459,68.0
266,2019-03-17 11:16:45,B32668,349.0,-22.816259,-43.394539,0.0
267,2019-03-17 11:19:23,B71082,247.0,-22.889151000000002,-43.29213,0.0
268,2019-03-17 11:19:47,B10049,634.0,-22.788849,-43.161453,0.0
269,2019-03-17 11:21:39,B10553,630.0,-22.889799,-43.248428000000004,57.0
270,2019-03-17 11:22:18,B10016,327.0,-22.815222,-43.18779,0.0
271,2019-03-17 11:23:12,B11516,778.0,-22.811031,-43.372795,0.0
272,2019-03-17 11:23:48,B44601,721.0,-22.849609,-43.323589,0.0
273,2019-03-17 11:25:53,A63537,,-22.87207,-43.253551,49.0
274,2019-03-17 11:27:58,B11605,362.0,-22.866423,-43.35564,0.0
275,2019-03-17 11:28:02,C30250,550.0,-22.982559,-43.227539,39.0
276,2019-03-17 11:28:52,B63086,919.0,-22.836281,-43.288761,38.0
277,2019-03-17 11:29:21,C47569,939.0,-22.953079000000002,-43.349689,0.0
278,2019-03-17 11:29:34,B51553,,-22.87627,-43.368759000000004,0.0
279,2019-03-17 11:29:35,C47890,613.0,-22.976298999999997,-43.494339000000004,24.0
280,2019-03-17 11:29:43,B44540,,-22.86055,-43.355801,0.0
281,2019-03-17 11:29:55,B58012,,-22.837379000000002,-43.286572,43.0
282,2019-03-17 11:29:57,D53713,,-22.883770000000002,-43.495411,0.0
283,2019-03-17 11:30:27,D53710,,-22.884001,-43.494541,0.0
284,2019-03-17 11:31:03,B28596,324.0,-22.815379999999998,-43.188122,0.0
285,2019-03-17 11:32:04,C44644,,-22.8612,-43.370731,0.0
286,2019-03-17 11:32:08,B44635,,-22.860279000000002,-43.35532,0.0
287,2019-03-17 11:32:23,B27085,629.0,-22.81695,-43.302071000000005,0.0
288,2019-03-17 11:32:27,B44692,,-22.860451,-43.355548999999996,0.0
289,2019-03-17 11:32:39,B28507,329.0,-22.816071,-43.188099,0.0
290,2019-03-17 11:32:39,D87743,,-22.918631,-43.608379,0.0
291,2019-03-17 11:32:59,B10024,910.0,-22.814898,-43.187138,0.0
292,2019-03-17 11:33:33,B10026,634.0,-22.815386,-43.186806,0.0
293,2019-03-17 11:33:33,B32841,296.0,-22.814698999999997,-43.386681,0.0
294,2019-03-17 11:33:34,B10112,323.0,-22.815110999999998,-43.187176,0.0
295,2019-03-17 11:33:47,B32528,687.0,-22.81727,-43.393051,0.0
296,2019-03-17 11:33:48,B25588,,-22.902651000000002,-43.29781,0.0
297,2019-03-17 11:33:53,B11525,908.0,-22.866184,-43.356941,0.0
