"aisp";"mes";"vano";"nome_comandante_bpm"
3;12;2002;"TEN CEL PAULO AUGUSTO DO COUTO MOUZINHO"
4;12;2002;"TEN CEL ADILSON THEODORO SOARES"
5;12;2002;"TEN CEL HÉLIO LUIZ AZEVEDO NEVES"
6;12;2002;"CEL FRANCISCO MURILO LEITE LIRA"
7;12;2002;"CEL RICARDO DA SILVEIRA FURTADO"
8;12;2002;"TEN CEL MÁRIO DOS SANTOS PINTO"
9;12;2002;"TEN CEL ANTONIO CARLOS SUARES DAVID"
10;12;2002;"TEN CEL ROSANO AUGUSTO DE SOUZA"
11;12;2002;"TEN CEL OSWALDO AUGUSTO VAZ"
12;12;2002;"CEL MARCÍLIO FARIA DA COSTA"
13;12;2002;"TEN CEL SIDNEI COUTINHO TEIXEIRA"
14;12;2002;"TEN CEL MIGUEL DE ALMEIDA CARLOU"
15;12;2002;"TEN CEL DINALDO CARNEIRO DE MACEDO"
16;12;2002;"TEN CEL RONALDO ANTONIO DE MENEZES"
17;12;2002;"TEN CEL ALCIDES MENEZES DE AZEVEDO"
18;12;2002;"TEN CEL MARCO AURÉLIO DE MOURA"
19;12;2002;"TEN CEL DARIO CONY DOS SANTOS"
20;12;2002;"CEL FRANCISCO D' AMBRÓSIO"
21;12;2002;"CEL CARLOS ALBERTO VICTORIANO GUEDES"
22;12;2002;"CEL CARLOS AUGUSTO CARRIJO DA SILVA"
23;12;2002;"CEL UBIRATAN DE OLIVEIRA ANGELO"
24;12;2002;"TEN CEL EDUARDO LUIZ DA FONSECA PINTO"
25;12;2002;"TEN CEL ADILSON OLIVEIRA DO NASCIMENTO"
26;12;2002;"TEN CEL LUIZ CARLOS DE OLIVEIRA"
27;12;2002;"TEN CEL VENÂNCIO ALVES DE MOURA"
28;12;2002;"CEL RENATO SILVA HOTTZ"
29;12;2002;"TEN CEL JORGE ROMEU PEREIRA DO NASCIMENTO"
30;12;2002;"TEN CEL JORGE LUIZ RAMOS"
31;12;2002;"TEN CEL MAURO GONÇALVES TEIXEIRA"
32;12;2002;"TEN CEL MARCOS FAZIO CORREA"
33;12;2002;"TEN CEL HIRAN JORGE FIGUEIREDO DE CARVALHO"
34;12;2002;"TEN CEL MAURÍCIO SANTOS DE MORAES"
35;12;2002;"TEN CEL ROMÃO ROBERTO DE MELLO VILAÇA"
36;12;2002;"TEN CEL WEBER GUTTEMBERG COLLYER"
37;12;2002;"MAJ JOÃO GILBERTO DA SILVA GUIMARAES"
38;12;2002;"MAJ DALMO SIQUEIRA GOMES"
39;12;2002;"CEL JOSÉ AURÉLIO BRAZUNA MACIEL"
1;1;2003;"TEN CEL MARCOS ALEXANDRE SANTOS DE ALMEIDA"
2;1;2003;"TEN CEL HIRAN JORGE FIGUEIREDO DE CARVALHO"
3;1;2003;"TEN CEL PAULO AUGUSTO DO COUTO MOUZINHO"
4;1;2003;"TEN CEL ERIR RIBEIRO COSTA FILHO"
5;1;2003;"TEN CEL VILMAR DIAS"
6;1;2003;"TEN CEL FRANCISCO MURILO LEITE LIRA"
7;1;2003;"TEN CEL RICARDO DA SILVEIRA FURTADO"
8;1;2003;"TEN CEL MÁRIO DOS SANTOS PINTO"
9;1;2003;"TEN CEL ANTONIO CARLOS SUARES DAVID"
10;1;2003;"TEN CEL ROSANO AUGUSTO DE SOUZA"
11;1;2003;"CEL JOSÉ ALBERTO M DA FONSECA"
12;1;2003;"TEN CEL CESAR RUBENS MONTEIRO DE CARVALHO"
13;1;2003;"TEN CEL SIDNEI COUTINHO TEIXEIRA"
14;1;2003;"TEN CEL MIGUEL DE ALMEIDA CARLOU"
15;1;2003;"TEN CEL DINALDO CARNEIRO DE MACEDO"
16;1;2003;"TEN CEL RONALDO ANTONIO DE MENEZES"
17;1;2003;"TEN CEL PEDRO PAULO DA SILVA"
18;1;2003;"TEN CEL RENATO FIALHO ESTEVES"
19;1;2003;"TEN CEL DARIO CONY DOS SANTOS"
20;1;2003;"CEL FRANCISCO D' AMBRÓSIO"
21;1;2003;"TEN CEL ROBERTO DE OLIVEIRA PENTEADO"
22;1;2003;"CEL CARLOS AUGUSTO CARRIJO DA SILVA"
23;1;2003;"TEN CEL JOSÉ MÁRIO AUGUSTO DE SÁ FREIRE"
24;1;2003;"CEL ALMIR DA COSTA"
25;1;2003;"TEN CEL ADILSON OLIVEIRA DO NASCIMENTO"
26;1;2003;"TEN CEL LUIZ CLÁUDIO CALIXTO BARBOSA"
27;1;2003;"TEN CEL JORGE LUIZ RAMOS"
28;1;2003;"TEN CEL JORGE SÉRGIO DE FREITAS"
29;1;2003;"TEN CEL JORGE ROMEU PEREIRA DO NASCIMENTO"
30;1;2003;"TEN CEL ROBSON JOSÉ CARDOSO CABRAL"
31;1;2003;"TEN CEL ROMÃO ROBERTO DE MELLO VILAÇA"
32;1;2003;"TEN CEL CELSO LACERDA NOGUEIRA"
33;1;2003;"TEN CEL MANOEL PARANHOS CÂMARA"
34;1;2003;"TEN CEL JÚLIO CESAR RAMOS"
35;1;2003;"TEN CEL MARCUS JARDIM GONÇALVES"
36;1;2003;"TEN CEL WEBER GUTTEMBERG COLLYER"
37;1;2003;"TEN CEL CELSO DE ARAÚJO"
38;1;2003;"TEN CEL MARCOS FAZIO CORREA"
1;2;2003;"TEN CEL MARCOS ALEXANDRE SANTOS DE ALMEIDA"
2;2;2003;"TEN CEL HIRAN JORGE FIGUEIREDO DE CARVALHO"
3;2;2003;"TEN CEL PAULO AUGUSTO DO COUTO MOUZINHO"
4;2;2003;"TEN CEL ERIR RIBEIRO COSTA FILHO"
5;2;2003;"TEN CEL VILMAR DIAS"
6;2;2003;"TEN CEL FRANCISCO MURILO LEITE LIRA"
7;2;2003;"TEN CEL RICARDO DA SILVEIRA FURTADO"
8;2;2003;"TEN CEL MÁRIO DOS SANTOS PINTO"
9;2;2003;"CEL CARLOS AUGUSTO CARRIJO DA SILVA"
10;2;2003;"TEN CEL ROSANO AUGUSTO DE SOUZA"
11;2;2003;"CEL JOSÉ ALBERTO M DA FONSECA"
12;2;2003;"TEN CEL CESAR RUBENS MONTEIRO DE CARVALHO"
13;2;2003;"TEN CEL GIOVANE CARIPRECE NETO"
14;2;2003;"TEN CEL MIGUEL DE ALMEIDA CARLOU"
15;2;2003;"TEN CEL DINALDO CARNEIRO DE MACEDO"
16;2;2003;"TEN CEL LOURENÇO PACHECO MARTINS"
17;2;2003;"TEN CEL PEDRO PAULO DA SILVA"
18;2;2003;"TEN CEL RENATO FIALHO ESTEVES"
19;2;2003;"TEN CEL DARIO CONY DOS SANTOS"
20;2;2003;"CEL FRANCISCO D' AMBRÓSIO"
21;2;2003;"TEN CEL ROBERTO DE OLIVEIRA PENTEADO"
22;2;2003;"CEL MAURÍCIO VEIRA BEZERRA"
23;2;2003;"TEN CEL JOSÉ MÁRIO AUGUSTO DE SÁ FREIRE"
24;2;2003;"CEL ALMIR DA COSTA"
25;2;2003;"TEN CEL ADILSON OLIVEIRA DO NASCIMENTO"
26;2;2003;"TEN CEL LUIZ CLÁUDIO CALIXTO BARBOSA"
27;2;2003;"TEN CEL JORGE LUIZ RAMOS"
28;2;2003;"TEN CEL JORGE SÉRGIO DE FREITAS"
29;2;2003;"TEN CEL JORGE ROMEU PEREIRA DO NASCIMENTO"
